File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
c_w.l,18.024242%,12863,96,12312,551,0,96
usart_app.o,10.988580%,7842,558,5838,1976,28,530
sdio_sdcard.o,9.238422%,6593,61,6588,0,5,56
ff.o,8.375254%,5977,6,5964,13,0,6
oled.o,4.809080%,3432,22,1338,2072,22,0
sd_app.o,3.327962%,2375,2756,2360,15,0,2756
btod.o,3.015484%,2152,0,2152,0,0,0
ebtn.o,2.676382%,1910,60,1910,0,0,60
ir_cmic_gd32f470vet6.o,2.345688%,1674,576,1672,0,2,574
fz_wm.l,2.155118%,1538,0,1522,16,0,0
scanf_fp.o,1.782386%,1272,0,1272,0,0,0
_printf_fp_dec.o,1.474112%,1052,0,1052,0,0,0
gd25qxx.o,1.255517%,896,0,896,0,0,0
_scanf.o,1.238702%,884,0,884,0,0,0
m_wm.l,1.123800%,802,0,802,0,0,0
_printf_fp_hex.o,1.123800%,802,0,764,38,0,0
scanf_hexfp.o,1.120998%,800,0,800,0,0,0
perf_counter.o,1.056540%,754,76,742,4,8,68
gd32f4xx_rcu.o,1.031318%,736,0,736,0,0,0
btn_app.o,0.966861%,690,196,480,14,196,0
gd32f4xx_dma.o,0.896798%,640,0,640,0,0,0
gd32f4xx_sdio.o,0.849156%,606,0,606,0,0,0
system_gd32f4xx.o,0.818328%,584,4,580,0,4,0
rtc_app.o,0.809921%,578,0,578,0,0,0
gd32f4xx_timer.o,0.751068%,536,0,536,0,0,0
gd32f4xx_adc.o,0.742661%,530,0,530,0,0,0
gd32f4xx_usart.o,0.739858%,528,0,528,0,0,0
startup_gd32f450_470.o,0.689414%,492,2048,64,428,0,2048
unicode.o,0.627759%,448,0,72,376,0,0
gd32f4xx_i2c.o,0.613746%,438,0,438,0,0,0
gd32f4xx_rtc.o,0.588524%,420,0,420,0,0,0
__printf_flags_ss_wp.o,0.573110%,409,0,392,17,0,0
bigflt0.o,0.526869%,376,0,228,148,0,0
dmul.o,0.476424%,340,0,340,0,0,0
_scanf_int.o,0.465214%,332,0,332,0,0,0
lc_ctype_c.o,0.442794%,316,0,44,272,0,0
scanf_infnan.o,0.431584%,308,0,308,0,0,0
oled_app.o,0.411967%,294,0,294,0,0,0
gd32f4xx_gpio.o,0.395152%,282,0,282,0,0,0
narrow.o,0.372732%,266,0,266,0,0,0
lludivv7m.o,0.336299%,240,0,240,0,0,0
ldexp.o,0.319484%,228,0,228,0,0,0
adc_app.o,0.319484%,228,8,228,0,0,8
diskio.o,0.297064%,212,0,212,0,0,0
_printf_wctomb.o,0.274644%,196,0,188,8,0,0
_printf_hex_int_ll_ptr.o,0.263434%,188,0,148,40,0,0
gd32f4xx_dac.o,0.263434%,188,0,188,0,0,0
_printf_intcommon.o,0.249422%,178,0,178,0,0,0
gd32f4xx_misc.o,0.249422%,178,0,178,0,0,0
strtod.o,0.246619%,176,0,176,0,0,0
gd32f4xx_it.o,0.232607%,166,0,166,0,0,0
dnaninf.o,0.218595%,156,0,156,0,0,0
main.o,0.212990%,152,0,152,0,0,0
strncmp.o,0.210187%,150,0,150,0,0,0
scheduler.o,0.210187%,150,61,90,0,60,1
systick.o,0.198977%,142,4,142,0,0,4
frexp.o,0.196175%,140,0,140,0,0,0
fnaninf.o,0.196175%,140,0,140,0,0,0
perfc_port_default.o,0.196175%,140,0,140,0,0,0
rt_memcpy_v6.o,0.193372%,138,0,138,0,0,0
lludiv10.o,0.193372%,138,0,138,0,0,0
_printf_fp_infnan.o,0.179360%,128,0,128,0,0,0
strcmpv7em.o,0.173755%,124,0,124,0,0,0
_printf_longlong_dec.o,0.173755%,124,0,124,0,0,0
dleqf.o,0.168150%,120,0,120,0,0,0
deqf.o,0.168150%,120,0,120,0,0,0
_printf_dec.o,0.168150%,120,0,120,0,0,0
llsdiv.o,0.162545%,116,0,116,0,0,0
_printf_oct_int_ll.o,0.156940%,112,0,112,0,0,0
drleqf.o,0.151335%,108,0,108,0,0,0
gd32f4xx_spi.o,0.142927%,102,0,102,0,0,0
retnan.o,0.140125%,100,0,100,0,0,0
rt_memcpy_w.o,0.140125%,100,0,100,0,0,0
d2f.o,0.137322%,98,0,98,0,0,0
scalbn.o,0.128915%,92,0,92,0,0,0
memcmp.o,0.123310%,88,0,88,0,0,0
f2d.o,0.120507%,86,0,86,0,0,0
strncpy.o,0.120507%,86,0,86,0,0,0
_printf_str.o,0.114902%,82,0,82,0,0,0
rt_memclr_w.o,0.109297%,78,0,78,0,0,0
_printf_pad.o,0.109297%,78,0,78,0,0,0
sys_stackheap_outer.o,0.103692%,74,0,74,0,0,0
lc_numeric_c.o,0.100890%,72,0,44,28,0,0
_c16rtomb.o,0.100890%,72,0,72,0,0,0
rt_memclr.o,0.095285%,68,0,68,0,0,0
dunder.o,0.089680%,64,0,64,0,0,0
_sgetc.o,0.089680%,64,0,64,0,0,0
strlen.o,0.086877%,62,0,62,0,0,0
__0sscanf.o,0.084075%,60,0,60,0,0,0
__dczerorl.o,0.081272%,58,0,58,0,0,0
atof.o,0.078470%,56,0,56,0,0,0
vsnprintf.o,0.072865%,52,0,52,0,0,0
__scatter.o,0.072865%,52,0,52,0,0,0
fpclassify.o,0.067260%,48,0,48,0,0,0
trapv.o,0.067260%,48,0,48,0,0,0
_printf_char_common.o,0.067260%,48,0,48,0,0,0
scanf_char.o,0.061655%,44,0,44,0,0,0
_printf_wchar.o,0.061655%,44,0,44,0,0,0
_printf_char.o,0.061655%,44,0,44,0,0,0
__2sprintf.o,0.061655%,44,0,44,0,0,0
_printf_charcount.o,0.056050%,40,0,40,0,0,0
llshl.o,0.053247%,38,0,38,0,0,0
libinit2.o,0.053247%,38,0,38,0,0,0
strstr.o,0.050445%,36,0,36,0,0,0
init_aeabi.o,0.050445%,36,0,36,0,0,0
_printf_truncate.o,0.050445%,36,0,36,0,0,0
_chval.o,0.039235%,28,0,28,0,0,0
__scatter_zi.o,0.039235%,28,0,28,0,0,0
systick_wrapper_gnu.o,0.039235%,28,0,28,0,0,0
fpinit.o,0.036432%,26,0,26,0,0,0
dcmpi.o,0.033630%,24,0,24,0,0,0
_rserrno.o,0.030827%,22,0,22,0,0,0
strchr.o,0.028025%,20,0,20,0,0,0
isspace.o,0.025222%,18,0,18,0,0,0
exit.o,0.025222%,18,0,18,0,0,0
gd32f4xx_pmu.o,0.025222%,18,0,18,0,0,0
fpconst.o,0.022420%,16,0,0,16,0,0
dcheck1.o,0.022420%,16,0,16,0,0,0
rt_ctype_table.o,0.022420%,16,0,16,0,0,0
aeabi_memset.o,0.022420%,16,0,16,0,0,0
_snputc.o,0.022420%,16,0,16,0,0,0
__printf_wp.o,0.019617%,14,0,14,0,0,0
dretinf.o,0.016815%,12,0,12,0,0,0
sys_exit.o,0.016815%,12,0,12,0,0,0
__rtentry2.o,0.016815%,12,0,12,0,0,0
fretinf.o,0.014012%,10,0,10,0,0,0
rtexit2.o,0.014012%,10,0,10,0,0,0
_sputc.o,0.014012%,10,0,10,0,0,0
_printf_ll.o,0.014012%,10,0,10,0,0,0
_printf_l.o,0.014012%,10,0,10,0,0,0
scanf2.o,0.011210%,8,0,8,0,0,0
rt_locale_intlibspace.o,0.011210%,8,0,8,0,0,0
rt_errno_addr_intlibspace.o,0.011210%,8,0,8,0,0,0
libspace.o,0.011210%,8,96,8,0,0,96
__main.o,0.011210%,8,0,8,0,0,0
istatus.o,0.008407%,6,0,6,0,0,0
heapauxi.o,0.008407%,6,0,6,0,0,0
_printf_x.o,0.008407%,6,0,6,0,0,0
_printf_u.o,0.008407%,6,0,6,0,0,0
_printf_s.o,0.008407%,6,0,6,0,0,0
_printf_p.o,0.008407%,6,0,6,0,0,0
_printf_o.o,0.008407%,6,0,6,0,0,0
_printf_n.o,0.008407%,6,0,6,0,0,0
_printf_ls.o,0.008407%,6,0,6,0,0,0
_printf_llx.o,0.008407%,6,0,6,0,0,0
_printf_llu.o,0.008407%,6,0,6,0,0,0
_printf_llo.o,0.008407%,6,0,6,0,0,0
_printf_lli.o,0.008407%,6,0,6,0,0,0
_printf_lld.o,0.008407%,6,0,6,0,0,0
_printf_lc.o,0.008407%,6,0,6,0,0,0
_printf_i.o,0.008407%,6,0,6,0,0,0
_printf_g.o,0.008407%,6,0,6,0,0,0
_printf_f.o,0.008407%,6,0,6,0,0,0
_printf_e.o,0.008407%,6,0,6,0,0,0
_printf_d.o,0.008407%,6,0,6,0,0,0
_printf_c.o,0.008407%,6,0,6,0,0,0
_printf_a.o,0.008407%,6,0,6,0,0,0
__rtentry4.o,0.008407%,6,0,6,0,0,0
scanf1.o,0.005605%,4,0,4,0,0,0
printf2.o,0.005605%,4,0,4,0,0,0
printf1.o,0.005605%,4,0,4,0,0,0
_printf_percent_end.o,0.005605%,4,0,4,0,0,0
use_no_semi.o,0.002802%,2,0,2,0,0,0
rtexit.o,0.002802%,2,0,2,0,0,0
libshutdown2.o,0.002802%,2,0,2,0,0,0
libshutdown.o,0.002802%,2,0,2,0,0,0
libinit.o,0.002802%,2,0,2,0,0,0
